duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fHeaderBytes,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bVarianceDataBytes,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,sflow_fpacket,sflow_fbytes,sflow_bpacket,sflow_bbytes,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,FFNEPD,Init_Win_bytes_forward,Init_Win_bytes_backward,RRT_samples_clnt,Act_data_pkt_forward,min_seg_size_forward,calss
1020586,668,1641,35692,2276876,52,52,679,1390,53.43113772,1387.492992,25.85059229,54.2207838,1012372,1004743,1,2,33003,37595,1517.7991,612.6481707,3430.256494,1961.288204,3,16,0,0,13360,32820,654.5259292,1607.899775,2262.425704,2265921.735,52,1390,1001.545258,606.9292954,-30,20674,442.194974,1208.029126,0,2,0,19,2308,0,0,0,63.79233442,1001.545258,53.43113772,13360,376,7,238318,2939.893396,1387,13535,9,4961514,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,1853440,1640,668,32,benign
80794,1,1,75,124,75,124,75,124,75,124,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,12.37715672,12.37715672,24.75431344,2463.054187,75,124,99.5,34.63379852,80794,80794,80794,0,0,0,0,0,0,0,0,0,1.653333333,99.5,75,20,0,0,0,0,124,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
998,3,0,187,0,52,-1,83,-1,62.33333333,0,17.88388474,0,998,0,2,-1,996,-1,499,0,702.8634291,0,1,0,0,0,60,0,3006.012024,0,3006.012024,187374.7495,52,83,62.33333333,17.88388474,2,996,499,702.8634291,0,0,1,1,3,0,0,0,0,62.33333333,62.33333333,60,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,4,101888,-1,0,3,32,benign
189868,9,9,1448,6200,52,52,706,1390,160.8888889,688.8888889,216.1619442,665.6900451,137870,161424,2,11,40746,71705,17233.75,20178,17780.63985,29411.67515,3,4,0,0,180,180,47.40135252,47.40135252,94.80270504,40280.61601,52,1390,424.8888889,551.654345,2,51972,11168.70588,17180.91265,1,2,0,7,17,0,0,0,4.281767956,424.8888889,160.8888889,180,334,4,8196,443143.2361,688,4201,4,2879369,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,2722560,8,9,32,benign
110577,4,6,528,1422,52,52,331,1005,132,237,134.0659042,377.3987281,82246,81939,3,12,80371,49456,27415.33333,16387.8,45870.47268,22885.04745,2,4,0,0,80,120,36.17388788,54.26083182,90.4347197,17634.77034,52,1005,195,296.7473673,3,49456,12286.33333,18425.63881,0,0,0,6,10,0,0,0,2.693181818,195,132,80,0,0,0,142429.8,237,1370,5,27150,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,155136,31232,5,4,32,benign
261876,7,6,1618,882,52,52,730,477,231.1428571,147,290.1125808,170.4740449,261876,186534,2,454,95625,77201,43646,37306.8,39724.78194,27948.16201,3,2,0,0,140,120,26.73020819,22.91160702,49.64181521,9546.502925,52,730,192.3076923,236.8497712,2,72473,21823,22332.50694,0,2,0,5,12,0,0,0,0.545117429,192.3076923,231.1428571,140,0,0,0,29061.4,147,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,926720,3,7,32,benign
14,2,0,104,0,52,-1,52,-1,52,0,1,0,14,0,14,-1,14,-1,14,0,0,0,0,0,0,0,40,0,142857.1429,0,142857.1429,7428571.429,52,52,52,1,14,14,14,0,0,0,0,0,2,0,0,0,0,52,52,40,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,3,5824,-1,0,2,32,benign
29675,1,1,71,213,71,213,71,213,71,213,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,33.69839933,33.69839933,67.39679865,9570.345409,71,213,142,100.4041832,29675,29675,29675,0,0,0,0,0,0,0,0,0,3,142,71,20,0,0,0,0,213,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
806635,4,0,239,0,52,-1,83,-1,59.75,0,15.48924358,0,806635,0,5,-1,765503,-1,268878.3333,0,430580.7699,0,1,0,0,0,80,0,4.958872352,0,4.958872352,296.2926231,52,83,59.75,15.48924358,5,765503,268878.3333,430580.7699,1,0,0,1,4,0,0,0,0,59.75,59.75,80,239,4,296,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,5,107008,-1,0,4,32,benign
56620,3,2,1074,719,52,52,592,667,358,359.5,277.1055755,434.8695207,56620,33231,6,33231,56614,33231,28310,33231,40027.90066,0,2,1,0,0,60,40,52.98481102,35.32320735,88.30801837,31667.25539,52,667,358.6,292.6987359,6,33231,14155,15940.48286,0,0,0,3,5,0,0,0,0.669459963,358.6,358,60,0,0,0,189111.5,359,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,3,128512,10816,1,3,32,benign
7552,1,1,52,64,52,64,52,64,52,64,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,132.4152542,132.4152542,264.8305085,15360.16949,52,64,58,8.426149773,7552,7552,7552,0,1,0,0,0,2,0,0,0,1.230769231,58,52,20,0,0,0,0,64,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,3328,103808,1,1,32,benign
5008461,1,2,52,135,52,52,52,83,52,67.5,0,21.89748844,0,5008461,-1,5008461,-1,5008461,0,5008461,0,0,0,1,0,0,20,40,0.199662132,0.399324264,0.598986395,37.33681864,52,83,62.33333333,17.88388474,109201,4899260,2504230.5,3387083.201,1,0,0,1,3,0,0,0,2.596153846,62.33333333,52,20,0,0,0,479.5,67,0,0,0,1,52,2,135,5008461,5008461,5008461,0,4899260,4899260,4899260,0,2,103808,3328,2,1,32,benign
59125997,2,4,780,664,52,52,728,477,390,166,478.0031381,207.8468988,82744,59091982,82744,251,82744,59046808,82744,1.97E+07,0,3.41E+07,1,2,0,0,40,80,0.033826068,0.067652136,0.101478204,24.42242116,52,728,240.6666667,291.5442791,251,59043002,1.18E+07,2.64E+07,1,0,0,3,6,0,0,0,0.851282051,240.6666667,390,40,0,0,0,43200.33333,166,0,0,0,2,780,4,664,59125746,5.91E+07,59125746,0,59043002,5.90E+07,59043002,0,2,104320,5824,3,2,32,benign
155610,1,2,40,92,40,40,40,52,40,46,0,8.426149773,0,1625,-1,1625,-1,1625,0,1625,0,0,0,0,0,0,20,40,6.426322216,12.85264443,19.27896665,848.2745325,40,52,44,6.892024376,1625,153985,77805,107734.7892,1,0,0,0,3,0,0,0,2.3,44,40,20,0,0,0,71,46,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,1984,101568,1,1,20,benign
5220,1,1,40,52,40,52,40,52,40,52,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,191.5708812,191.5708812,383.1417625,17624.52107,40,52,46,8.426149773,5220,5220,5220,0,1,0,0,0,2,0,0,0,1.3,46,40,20,0,0,0,0,52,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,1920,88704,1,1,20,benign
19609,1,2,52,719,52,52,52,667,52,359.5,0,434.8695207,0,17423,-1,17423,-1,17423,0,17423,0,0,0,1,0,0,20,40,50.99699118,101.9939824,152.9909735,39318.6802,52,667,257,355.0697115,2186,17423,9804.5,10774.18598,0,0,0,1,3,0,0,0,13.82692308,257,52,20,0,0,0,189111.5,359,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,3,128512,10496,1,1,32,benign
573997,121,273,7352,345069,52,52,770,1390,60.76033058,1263.989011,68.64407292,360.5060779,573997,539234,1,1,190126,121950,4783.308333,1982.477941,18390.28196,10861.8467,3,29,0,0,2420,5460,210.8024955,475.6122419,686.4147374,613977.0765,52,1390,894.4695431,632.6488302,1,121950,1460.552163,7678.645183,0,2,0,32,393,0,0,0,46.93539173,894.4695431,60.76033058,2420,566,10,59023,129964.6322,1263,22981,18,2308209,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,1853440,271,121,32,benign
128911,1,1,68,161,68,161,68,161,68,161,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,7.757289913,7.757289913,15.51457983,1776.41939,68,161,114.5,65.75332691,128911,128911,128911,0,0,0,0,0,0,0,0,0,2.367647059,114.5,68,20,0,0,0,0,161,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
0,1,0,83,0,83,-1,83,-1,83,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,83,83,83,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,83,83,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,89792,-1,0,1,32,benign
48236088,10,9,1009,4326,40,40,315,1390,100.9,480.6666667,100.0865736,550.5462061,270874,48213516,2,15,127374,48000731,30097.11111,6026689.5,41731.32191,1.70E+07,3,4,0,0,200,180,0.207313661,0.186582295,0.393895956,110.6018382,40,1390,280.7894737,421.5135531,2,47965199,2679782.667,1.13E+07,1,2,0,7,18,0,0,0,4.287413281,280.7894737,100.9,200,286,4,2221,303101.125,480,3357,4,1777130,10,1009,9,4326,48236073,4.82E+07,48236073,0,47965199,4.80E+07,47965199,0,2,4194240,1868800,8,10,20,benign
1570,1,1,68,148,68,148,68,148,68,148,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,636.9426752,636.9426752,1273.88535,137579.6178,68,148,108,56.55970297,1570,1570,1570,0,0,0,0,0,0,0,0,0,2.176470588,108,68,20,0,0,0,0,148,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
46176642,5,5,352,642,40,40,172,465,70.4,128.4,57.4504134,188.2287173,178378,46154277,2,16,118752,46000650,44594.5,1.15E+07,51562.64204,2.30E+07,1,2,0,0,100,100,0.108279853,0.108279853,0.216559706,21.52603474,40,465,99.4,134.7150903,2,45998264,5130738,1.53E+07,1,2,0,3,9,0,0,0,1.823863636,99.4,70.4,100,0,0,0,35430.05,128,0,0,0,5,352,5,642,46176642,4.62E+07,46176642,0,45998264,4.60E+07,45998264,0,2,4194240,1868800,4,5,20,benign
1134,1,1,68,148,68,148,68,148,68,148,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,881.8342152,881.8342152,1763.66843,190476.1905,68,148,108,56.55970297,1134,1134,1134,0,0,0,0,0,0,0,0,0,2.176470588,108,68,20,0,0,0,0,148,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
391249,14,12,1987,7755,52,52,987,1064,141.9285714,646.25,250.0836673,477.194762,391249,345011,2,8,197123,248716,30096.07692,31364.63636,53831.29091,74522.15465,3,4,0,0,280,240,35.78283906,30.67100491,66.45384397,24899.74415,52,1064,374.6923077,445.4811573,2,197123,15649.96,40157.76153,0,2,0,7,25,0,0,0,3.902868646,374.6923077,141.9285714,280,542,8,2602,227714.8409,646,6256,8,4264485,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,1145472,11,14,32,benign
29824,1,1,70,268,70,268,70,268,70,268,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,33.53004292,33.53004292,67.06008584,11333.15451,70,268,169,140.0035714,29824,29824,29824,0,0,0,0,0,0,0,0,0,3.828571429,169,70,20,0,0,0,0,268,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
232624,10,9,2743,5014,52,52,1390,1390,274.3,557.1111111,430.3217272,562.0446923,232624,189114,2,124,70001,72654,25847.11111,23639.25,26681.86721,27579.73634,3,4,0,0,200,180,42.98782585,38.68904326,81.67686911,33345.65651,52,1390,408.2631579,504.0176741,2,40477,12923.55556,16962.06477,0,2,0,7,18,0,0,0,1.827925629,408.2631579,274.3,200,334,4,12723,315894.2361,557,3821,4,1467921,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,2722560,7,10,32,benign
1177,1,1,65,243,65,243,65,243,65,243,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,849.617672,849.617672,1699.235344,261682.243,65,243,154,125.8610345,1177,1177,1177,0,0,0,0,0,0,0,0,0,3.738461539,154,65,20,0,0,0,0,243,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
414917,14,18,3028,9821,52,52,1390,1390,216.2857143,545.6111111,368.6442789,617.5377711,386509,386733,2,6,213627,138373,29731.46154,22749,57592.53201,38881.93353,5,10,0,0,280,360,33.7416881,43.38217041,77.12385851,30967.63931,52,1390,401.53125,541.913187,2,138373,13384.41935,28296.27915,0,2,0,15,31,0,0,0,3.24339498,401.53125,216.2857143,280,291,4,13878,381352.8987,545,4560,6,64062,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,2722560,15,14,32,benign
1153424,28,43,6219,27718,52,52,1390,1390,222.1071429,644.6046512,368.7156728,622.4721313,1125123,1124189,2,6,444501,444168,41671.22222,26766.40476,89529.51071,72023.07682,11,26,0,0,560,860,24.27554828,37.28030629,61.55585457,29422.8315,52,1390,477.9859155,572.8564765,2,416260,16477.48571,52865.78836,0,2,0,37,70,0,0,0,4.456986654,477.9859155,222.1071429,560,369,5,22826,387471.5543,644,6689,8,136137,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,2722560,34,28,32,benign
971,1,1,72,112,72,112,72,112,72,112,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,1029.866117,1029.866117,2059.732235,189495.3656,72,112,92,28.26658805,971,971,971,0,0,0,0,0,0,0,0,0,1.555555556,92,72,20,0,0,0,0,112,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
335876,10,10,1848,6414,52,52,729,1390,184.8,641.4,250.5989714,612.4843218,335876,251697,2,8,118250,113000,37319.55556,27966.33333,38421.80344,41454.26225,3,4,0,0,200,200,29.77289238,29.77289238,59.54578475,24598.36368,52,1390,413.1,512.1600696,2,73684,17677.68421,24636.03536,0,2,0,7,19,0,0,0,3.470779221,413.1,184.8,200,0,0,0,375137.0444,641,4356,5,3384615,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,926720,8,10,32,benign
0,1,0,52,0,52,-1,52,-1,52,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,52,52,52,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,52,52,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,5824,-1,0,1,32,benign
54726,1,1,71,213,71,213,71,213,71,213,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,18.2728502,18.2728502,36.5457004,5189.489457,71,213,142,100.4041832,54726,54726,54726,0,0,0,0,0,0,0,0,0,3,142,71,20,0,0,0,0,213,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
17867,3,0,864,0,52,-1,729,-1,288,0,382.2309511,0,17867,0,5868,-1,11999,-1,8933.5,0,4335.27156,0,2,0,0,0,60,0,167.9073152,0,167.9073152,48357.30677,52,729,288,382.2309511,5868,11999,8933.5,4335.27156,1,0,0,2,3,0,0,0,0,288,288,60,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,4,104320,-1,0,3,32,benign
59999002,5,2,2093,719,52,52,592,667,418.6,359.5,220.089868,434.8695207,59999002,27852,2,27852,59948759,27852,1.50E+07,27852,3.00E+07,0,4,1,0,0,100,40,0.08333472,0.033333888,0.116668607,46.86744623,52,667,401.7142857,254.2506731,2,59948759,9999833.667,2.45E+07,0,0,0,5,7,0,0,0,0.343526039,401.7142857,418.6,100,0,0,0,189111.5,359,0,0,0,5,2093,2,719,59999000,6.00E+07,59999000,0,59948759,5.99E+07,59948759,0,3,126080,10240,1,5,32,benign
59731801,10,11,1849,6497,52,52,730,1390,184.9,590.6363636,250.8403432,604.9543409,343499,59669894,3,8,108249,59433034,38166.55556,5966989.4,38778.89504,1.88E+07,3,5,0,0,200,220,0.167415009,0.18415651,0.351571519,139.7245665,52,1390,397.4285714,504.3952886,3,59388286,2986590.05,1.33E+07,1,2,0,8,20,0,0,0,3.513791239,397.4285714,184.9,200,0,0,0,365969.7545,590,4356,5,2665850,10,1849,11,6497,59731785,5.97E+07,59731785,0,59388286,5.94E+07,59388286,0,2,4194240,926720,10,10,32,benign
0,1,0,52,0,52,-1,52,-1,52,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,52,52,52,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,52,52,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,5056,-1,0,1,32,benign
55670,1,1,71,213,71,213,71,213,71,213,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,17.96299623,17.96299623,35.92599246,5101.490929,71,213,142,100.4041832,55670,55670,55670,0,0,0,0,0,0,0,0,0,3,142,71,20,0,0,0,0,213,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
162126,3,0,187,0,52,-1,83,-1,62.33333333,0,17.88388474,0,162126,0,12127,-1,149999,-1,81063,0,97490.22613,0,1,0,0,0,60,0,18.50412642,0,18.50412642,1153.42388,52,83,62.33333333,17.88388474,12127,149999,81063,97490.22613,1,0,0,1,3,0,0,0,0,62.33333333,62.33333333,60,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,4,104320,-1,0,3,32,benign
0,1,0,40,0,40,-1,40,-1,40,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,40,40,40,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,1026304,-1,0,1,20,benign
1499,2,0,80,0,40,-1,40,-1,40,0,1,0,1499,0,1499,-1,1499,-1,1499,0,0,0,0,0,0,0,40,0,1334.222815,0,1334.222815,53368.91261,40,40,40,1,1499,1499,1499,0,1,0,0,0,2,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,3,4194240,-1,0,2,20,benign
184001,3,4,984,375,40,40,884,235,328,93.75,481.6134342,94.63570503,96000,97984,2124,13,93876,97172,48000,32661.33333,64878.46138,55869.2584,1,1,0,0,60,80,16.30425922,21.73901229,38.0432715,7385.829425,40,884,194.1428571,312.207158,13,87189,30666.83333,43416.66002,1,2,0,2,6,0,0,0,0.381097561,194.1428571,328,60,0,0,0,8955.916667,93,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,4194240,829440,3,3,20,benign
113611,1,1,64,106,64,106,64,106,64,106,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,8.801964599,8.801964599,17.6039292,1496.333982,64,106,85,29.68164416,113611,113611,113611,0,0,0,0,0,0,0,0,0,1.65625,85,64,20,0,0,0,0,106,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
0,1,0,83,0,83,-1,83,-1,83,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,83,83,83,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,83,83,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,89792,-1,0,1,32,benign
59361306,10,12,1849,6578,52,52,730,1390,184.9,548.1666667,250.8403432,594.9692633,315250,59327602,3,9,100502,59053661,35027.77778,5393418.364,34101.22723,1.78E+07,3,6,0,0,200,240,0.168459906,0.202151887,0.370611792,141.9611624,52,1390,383.0454545,496.6534652,3,59046040,2826728.857,1.29E+07,1,2,0,9,21,0,0,0,3.557598702,383.0454545,184.9,200,0,0,0,353988.4242,548,4356,5,3312547,10,1849,12,6578,59361290,5.94E+07,59361290,0,59046040,5.90E+07,59046040,0,2,4194240,926720,11,10,32,benign
0,1,0,52,0,52,-1,52,-1,52,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,52,52,52,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,52,52,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,5120,-1,0,1,32,benign
33312,1,1,71,414,71,414,71,414,71,414,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,20,20,30.0192123,30.0192123,60.03842459,14559.31796,71,414,242.5,242.5355644,33312,33312,33312,0,0,0,0,0,0,0,0,0,5.830985916,242.5,71,20,0,0,0,0,414,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,1,0,benign
207005,4,0,239,0,52,-1,83,-1,59.75,0,15.48924358,0,207005,0,2,-1,168753,-1,69001.66667,0,88478.66269,0,1,0,0,0,80,0,19.32320475,0,19.32320475,1154.561484,52,83,59.75,15.48924358,2,168753,69001.66667,88478.66269,1,0,0,1,4,0,0,0,0,59.75,59.75,80,239,4,1154,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,5,104320,-1,0,4,32,benign
635336,2,2,116,116,52,52,64,64,58,58,8.426149773,8.426149773,1125,635336,1125,635336,1125,635336,1125,635336,0,0,1,1,0,0,40,40,3.147940617,3.147940617,6.295881235,365.1611116,52,64,58,6.904105059,1125,319863,211778.6667,182452.2657,0,0,0,2,4,0,0,0,1,58,58,40,0,0,0,71,58,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,2,88704,151680,2,2,32,benign
